Unnamed: 0,StudyID,TimePoint,C_TotalTouches,C_PawDragPercent,GW_FootFault,Group name,Exclude,Comment,RB_HindlimbDrop,RB_Distance,RB_SpeedPercent,RB_SpeedAverage,IncludedInStudy,Strain,StrokeType,Group,StudyID_old,TimePointMerged,Z_C_PawDragPercent,Z_GW_FootFault,Z_RB_HindlimbDrop,DeficitScore,2 Cluster,Slope,3 Cluster,4 Cluster,5 Cluster,6 Cluster,linefit_cluster,cluster ii,cluster co
0,SRs1i7c4m1s,56,25.0,0.0,8.333333333,SR-T1.7 (WT-PT-8wks),,,0.5,120.0,130.3,23.5,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,56.0,-1.1097892940579803,-0.0999957432359013,-0.1648708358698653,0.792938006761116,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
1,SRs1i7c4m1s,42,10.0,0.0,19.16666667,SR-T1.7 (WT-PT-8wks),,,,120.0,105.81,19.08,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,42.0,-1.1097892940579803,1.396513411617539,,1.3945186899288111,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
2,SRs1i7c4m1s,28,25.0,16.0,12.5,SR-T1.7 (WT-PT-8wks),,,0.0,120.0,118.02,21.29,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,28.0,-0.0272033661088389,0.4755847007897333,-0.7690550248746314,1.1442654010844526,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
3,SRs1i7c4m1s,7,10.0,40.0,15.83333333,SR-T1.7 (WT-PT-8wks),,,0.5,120.0,162.34,29.29,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,7.0,1.596675525814873,0.9360490555129396,-0.1648708358698653,2.040441212968348,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
4,SRs1i7c4m1s,7,10.0,40.0,15.83333333,SR-T1.7 (WT-PT-8wks),,,0.25,120.0,166.34,30.0,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,7.0,1.596675525814873,0.9360490555129396,-0.4669629303722484,1.93974384813422,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
5,SRs1i7c4m1s,3,13.0,30.76923077,,SR-T1.7 (WT-PT-8wks),,,0.75,120.0,119.18,21.5,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,3.0,0.9721067212808774,,0.1372212586325176,1.8058206211057293,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
6,SRs1i7c4m1s,3,13.0,30.76923077,,SR-T1.7 (WT-PT-8wks),,,0.0,120.0,107.43,19.38,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,3.0,0.9721067212808774,,-0.7690550248746314,1.3526824793521546,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
7,SRs1i7c4m1s,Baseline,10.0,0.0,,SR-T1.7 (WT-PT-8wks),,,1.0,120.0,100,18.04,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m1,0.0,-1.1097892940579803,,0.4393133531349006,0.9159186606874918,1.0,,2.0,2.0,2.0,2.0,PRR,Low ii,Low co
8,SRs1i7c4m2s,56,22.0,18.18181818,12.5,SR-T1.7 (WT-PT-8wks),,,0.0,120.0,160.35,23.79,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,56.0,0.1204219875793865,0.4755847007897333,-0.7690550248746314,1.193473852313861,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
9,SRs1i7c4m2s,56,,,12.5,SR-T1.7 (WT-PT-8wks),,,0.0,120.0,160.35,23.79,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,56.0,,0.4755847007897333,-0.7690550248746314,1.1044214691065826,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
10,SRs1i7c4m2s,42,30.0,13.33333333,17.5,SR-T1.7 (WT-PT-8wks),,,0.0,105.0,112.04,16.62,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,42.0,-0.2076343543259012,1.1662812335652393,-0.7690550248746314,1.3143539159372672,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
11,SRs1i7c4m2s,28,26.0,23.07692308,13.33333333,SR-T1.7 (WT-PT-8wks),,,0.0,120.0,84.93,12.6,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,28.0,0.451632717615317,0.5907007891251866,-0.7690550248746314,1.3422494584376556,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
12,SRs1i7c4m2s,28,26.0,23.07692308,13.33333333,SR-T1.7 (WT-PT-8wks),,,0.0,120.0,∞,30.0,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,28.0,0.451632717615317,0.5907007891251866,-0.7690550248746314,1.3422494584376556,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
13,SRs1i7c4m2s,7,23.0,34.7826087,30.0,SR-T1.7 (WT-PT-8wks),,,1.5,120.0,146.66,21.75,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,7.0,1.2436583756908557,2.893022565504004,1.0434975421396668,2.97788279226054,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
14,SRs1i7c4m2s,7,23.0,34.7826087,30.0,SR-T1.7 (WT-PT-8wks),,,0.75,120.0,156.74,23.25,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,7.0,1.2436583756908557,2.893022565504004,0.1372212586325176,2.675790697758157,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
15,SRs1i7c4m2s,3,16.0,18.75,41.02564103,SR-T1.7 (WT-PT-8wks),,,4.25,55.0,25.48,3.78,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,3.0,0.1588660902574197,4.416096971713676,4.36651058166588,4.23164784569469,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
16,SRs1i7c4m2s,3,16.0,18.75,41.02564103,SR-T1.7 (WT-PT-8wks),,,2.0,56.0,37.87,5.62,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,3.0,0.1588660902574197,4.416096971713676,1.6476817311444327,3.325371562187541,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
17,SRs1i7c4m2s,Baseline,18.0,5.555555556,,SR-T1.7 (WT-PT-8wks),,,0.0,95.0,100,14.83,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m2,0.0,-0.733891402378901,,-0.7690550248746314,0.4996834175222654,0.0,,1.0,3.0,3.0,3.0,MRR,High ii,High co
18,SRs1i7c4m3s,56,17.0,0.0,6.666666667,SR-T1.7 (WT-PT-8wks),,,,120.0,134.34,23.5,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,56.0,-1.1097892940579803,-0.3302279207356438,,0.5311480237522196,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
19,SRs1i7c4m3s,42,22.0,13.63636364,7.5,SR-T1.7 (WT-PT-8wks),,,0.25,110.0,93.46,16.35,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,42.0,-0.187130832491647,-0.2151118319857726,-0.4669629303722484,0.961421432865809,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
20,SRs1i7c4m3s,28,10.0,0.0,11.66666667,SR-T1.7 (WT-PT-8wks),,,0.0,120.0,171.5,30.0,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,28.0,-1.1097892940579803,0.3604686124542799,-0.7690550248746314,0.7450313956562544,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
21,SRs1i7c4m3s,7,20.0,20.0,11.66666667,SR-T1.7 (WT-PT-8wks),,,0.75,118.0,69.04,12.08,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,7.0,0.2434431158784464,0.3604686124542799,0.1372212586325176,1.4982009601374462,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
22,SRs1i7c4m3s,7,20.0,20.0,11.66666667,SR-T1.7 (WT-PT-8wks),,,0.5,93.0,94.66,16.56,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,7.0,0.2434431158784464,0.3604686124542799,-0.1648708358698653,1.3975035953033186,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
23,SRs1i7c4m3s,3,26.0,42.30769231,40.83333333,SR-T1.7 (WT-PT-8wks),,,1.5,115.0,58.95,10.31,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,3.0,1.752817727117526,4.38953171939047,1.0434975421396668,3.646438960698253,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
24,SRs1i7c4m3s,3,26.0,42.30769231,40.83333333,SR-T1.7 (WT-PT-8wks),,,1.0,118.0,107.03,18.72,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,3.0,1.752817727117526,4.38953171939047,0.4393133531349006,3.445044231029997,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
25,SRs1i7c4m3s,Baseline,18.0,11.11111111,,SR-T1.7 (WT-PT-8wks),,,0.0,115.0,100,17.49,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m3,0.0,-0.3579935108351451,,-0.7690550248746314,0.6876323632941435,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
26,SRs1i7c4m4s,56,18.0,22.22222222,8.333333333,SR-T1.7 (WT-PT-8wks),,,0.25,105.0,150.54,18.66,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m4,56.0,0.3938022723876901,-0.0999957432359013,-0.4669629303722484,1.1934378307422118,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
27,SRs1i7c4m4s,42,23.0,13.04347826,6.666666667,SR-T1.7 (WT-PT-8wks),,,0.0,95.0,122.17,15.14,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m4,42.0,-0.2272464180713208,-0.3302279207356438,-0.7690550248746314,0.8089801765884996,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
28,SRs1i7c4m4s,28,22.0,18.18181818,10.0,SR-T1.7 (WT-PT-8wks),,,0.0,95.0,147.66,18.3,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m4,28.0,0.1204219875793865,0.1302364344019803,-0.7690550248746314,1.0783577635179435,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
29,SRs1i7c4m4s,7,15.0,13.33333333,16.66666667,SR-T1.7 (WT-PT-8wks),,,1.33,68.0,51.08,6.33,Ja,C57BL/6J,MOp/MOs (large),Stroke,SRs1i7c4m4,7.0,-0.2076343543259012,1.051165145229786,0.8380749178780463,1.811691867409676,0.0,,1.0,1.0,1.0,1.0,MRR,High ii,High co
