Stroke Type	Category
Mediainfarkt	INFARCT
Kleinhirninfarkt	INFARCT
ischaemie links	INFARCT
Kleinhirnblutung	BLEEDING
ICB	BLEEDING
Bithalamische Infrakte	INFARCT
Stammganglienblutung	BLEEDING
Infrakt links	INFARCT
Atypische intrakranielle Blutung	BLEEDING
Mediateilinfrakt	INFARCT
Ponsinfrakt	INFARCT
Bihemispaehrische ischaemische Infrakte	INFARCT
Basalganglieninfarkt	INFARCT
Bihemisphaerische Infarkte	INFARCT
Mediateilinfarkt	INFARCT
thalamische Infrakte links	INFARCT
Mediateiinfarkt	INFARCT
Grenzzoneninfarkt links	INFARCT
Ponsischaemie	INFARCT
ischaemie rechts	INFARCT
Mediainfarkt rechts	INFARCT
SAB	BLEEDING
Ponsinfarkt	INFARCT
Ischaemie	INFARCT
Hirninfarkt posterior rechts	INFARCT
Thalamusinfarkt	INFARCT
Ischaemie links	INFARCT
Infarkt medulla oblongata	INFARCT
Atypische Blutung	BLEEDING
Medulla-oblongata Infarkt	INFARCT
Hirninfarkt a. cerebri media	INFARCT
Infarkt Capsula interna	INFARCT
Grenzzoneninfarkt	INFARCT
Infarkt Mediastromgebiet	INFARCT
Thalamusblutung	BLEEDING
Mediainfrakt	INFARCT
Kleinhirnischaemie	INFARCT
Stammganglieninfarkt	INFARCT
stammganglieninfarkt	INFARCT
Anteriorinfarkt	INFARCT
Bihemisphaerischeinfakrte	INFARCT
Mediainfarkt (with trailing space)	INFARCT
Mediaischaemie	INFARCT
Ischaemie rechts	INFARCT
nan	INFARCT
