StudyID,TimePointMerged,C_PawDragPercent,GW_FootFault,RB_HindlimbDrop,Group,fixed_type,distance_to_boundary
PBsT3c25m2,0.0,5.0,4.166666667,0.25,Stroke,poor,-21.651970144947818
PBsT3c25m3,0.0,10.0,2.5,0.0,Stroke,good,-17.186552003074784
PBsT3c25m4,0.0,9.090909091,2.5,0.25,Stroke,good,-18.05910676317539
PBsT3c12m2,0.0,0.0,4.166666667,0.0,Stroke,good,-26.523582330122693
PBsT3c13m2,0.0,9.090909091,2.5,0.0,Stroke,poor,-18.070269994580848
PBsT3c13m3,0.0,0.0,3.333333333,0.0,Stroke,poor,-26.71551612048331
PBsT3c13m4,0.0,0.0,2.5,0.0,Stroke,good,-26.907449910613607
PBsT3c14m1,0.0,0.0,0.833333333,0.0,Stroke,good,-27.291317491104525
PBsT3c14m2,0.0,0.0,3.333333333,0.33,Stroke,poor,-26.700780655028105
GVsT3c16m2,0.0,5.0,2.027027027,0.0,Stroke,good,-22.155936351292272
GVsT3c16m3,0.0,0.0,1.492537313,0.0,Stroke,good,-27.139489269023343
GVsT3c17m3,0.0,8.333333333,2.105263158,0.0,Stroke,good,-18.8976176605186
GVsT3c17m4,0.0,0.0,3.333333333,0.0,Stroke,good,-26.71551612048331
GVsT3c12m2,0.0,0.0,2.666666667,0.0,Stroke,good,-26.86906315249542
GVsT3c12m3,0.0,6.666666667,0.666666667,0.0,Stroke,good,-20.849105643642478
GVsT3c13m1,0.0,0.0,1.333333333,0.0,Stroke,good,-27.176157216980283
GVsT3c13m3,0.0,0.0,0.666666667,0.0,Stroke,good,-27.329704248992392
GVsT3c13m4,0.0,11.76470588,3.305785124,0.0,Stroke,good,-15.285510561913284
GVsT3c14m1,0.0,0.0,1.333333333,0.75,Stroke,good,-27.142667522763904
GVsT3c14m3,0.0,5.263157895,0.666666667,0.0,Stroke,good,-22.2134421921372
GVsT3c10m1,0.0,16.66666667,5.263157895,0.25,Stroke,poor,-10.058378122129605
GVsT3c8m2,0.0,0.0,4.87804878,0.5,Stroke,good,-26.33740994903145
GVsT3c3m1,0.0,5.555555556,0.0,0.75,Stroke,good,-22.049262749064834
GVsT3c3m3,0.0,10.0,3.529411765,0.75,Stroke,good,-16.915967626770165
GVsT3c4m3,0.0,5.0,3.333333333,0.5,Stroke,good,-21.832740703902978
SPsV1c10m1,0.0,5.0,2.068965517,0.0,Stroke,good,-22.14627705528276
SPsT1c22m1,0.0,6.25,2.673796791,0.0,Stroke,poor,-20.791859746214897
SPsT1c22m3,0.0,10.0,4.0,0.0,Stroke,poor,-16.841071180702055
SPsV1c8m2,0.0,5.263157895,3.076923077,0.0,Stroke,good,-21.65831061436657
SPsT1c13m1,0.0,14.28571429,2.764976959,0.0,Stroke,poor,-12.959423257207662
SPsT1c11m2,0.0,10.0,2.173913043,0.0,Stroke,poor,-17.261656529787704
SPsT1c11m3,0.0,0.0,4.87804878,0.0,Stroke,poor,-26.35973641184237
SPsT1c4m3,0.0,5.0,2.777777778,0.67,Stroke,good,-21.95310556655736
SPsV1c6m2,0.0,5.0,2.105263158,0.0,Stroke,good,-22.137916962707514
SPsT1c1m2,0.0,0.0,2.352941176,0.0,Stroke,good,-26.94132057958207
SPsV1c5m1,0.0,9.090909091,1.62601626,0.0,Stroke,good,-18.27156640873791
SPsV1c5m2,0.0,8.333333333,2.816901408,0.67,Stroke,good,-18.70379528845737
SPsV1c2m1,0.0,10.0,2.142857143,1.0,Stroke,good,-17.224156416080213
SPsV1c2m3,0.0,5.0,2.43902439,1.0,Stroke,good,-22.016391967147346
SPsV1c2m2,0.0,5.0,2.0,0.5,Stroke,good,-22.13983476815752
PBsT3c25m2,3.0,14.28571429,12.5,0.5,Stroke,poor,-10.694920950381983
PBsT3c25m3,3.0,40.0,11.66666667,0.25,Stroke,good,14.098576643992677
PBsT3c25m4,3.0,33.33333333,10.83333333,1.25,Stroke,good,7.470697169605792
PBsT3c12m2,3.0,27.27272727,20.0,0.75,Stroke,good,3.6681891231332777
PBsT3c13m2,3.0,0.0,5.833333333,0.0,Stroke,poor,-26.139714749862097
PBsT3c13m3,3.0,0.0,4.166666667,0.25,Stroke,poor,-26.512419098717235
PBsT3c13m4,3.0,45.0,20.83333333,0.5,Stroke,good,21.081460519909864
PBsT3c14m1,3.0,45.0,27.5,1.75,Stroke,good,22.67274699936147
PBsT3c14m2,3.0,17.64705882,5.833333333,0.25,Stroke,poor,-8.974025802701377
GVsT3c16m2,3.0,35.0,12.06896552,1.0,Stroke,good,9.364275076131378
GVsT3c16m3,3.0,40.0,9.565217391,3.33,Stroke,good,13.752100704852273
GVsT3c17m3,3.0,33.33333333,13.20754717,1.33,Stroke,good,8.02109963694348
GVsT3c17m4,3.0,33.33333333,9.0,3.0,Stroke,good,7.126585451756186
GVsT3c12m2,3.0,31.57894737,10.67961165,0.67,Stroke,good,5.703972530371898
GVsT3c12m3,3.0,35.0,10.83333333,0.25,Stroke,good,9.046193898480722
