StudyID,TimePointMerged,C_PawDragPercent,GW_FootFault,RB_HindlimbDrop,Group,fixed_type,distance_to_boundary
SRs1i7c4m2s,3.0,18.75,41.02564103,4.25,Stroke,poor,2.082902774101988
SRs1i7c4m2s,3.0,18.75,41.02564103,4.25,Stroke,poor,2.082902774101988
SRs1i7c4m2s,3.0,18.75,41.02564103,2.0,Stroke,poor,1.0803637900384921
SRs1i7c4m2s,3.0,18.75,41.02564103,2.0,Stroke,poor,1.0803637900384921
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.5,Stroke,poor,1.7360207410041713
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.5,Stroke,poor,1.7360207410041713
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.0,Stroke,poor,1.513234300101172
SRs1i7c4m3s,3.0,42.30769231,40.83333333,1.0,Stroke,poor,1.513234300101172
SRs1i7c4m4s,3.0,60.0,16.66666667,2.25,Stroke,poor,1.3390585207328178
SRs1i7c4m4s,3.0,60.0,16.66666667,2.25,Stroke,poor,1.3390585207328178
SRs1i7c4m4s,3.0,60.0,16.66666667,0.67,Stroke,poor,0.635053367479341
SRs1i7c4m4s,3.0,60.0,16.66666667,0.67,Stroke,poor,0.635053367479341
SRs1i7c5m1s,3.0,31.25,29.16666667,1.25,Stroke,poor,0.5315787581144454
SRs1i7c5m1s,3.0,31.25,29.16666667,1.25,Stroke,poor,0.5315787581144454
SRs1i7c5m1s,3.0,31.25,29.16666667,1.0,Stroke,poor,0.420185537662946
SRs1i7c5m1s,3.0,31.25,29.16666667,1.0,Stroke,poor,0.420185537662946
SRs1i7c5m2s,3.0,40.90909091,30.0,1.75,Stroke,poor,1.167358045246083
SRs1i7c5m2s,3.0,40.90909091,30.0,1.75,Stroke,poor,1.167358045246083
SRs1i7c5m2s,3.0,40.90909091,30.0,0.5,Stroke,poor,0.6103919429885855
SRs1i7c5m2s,3.0,40.90909091,30.0,0.5,Stroke,poor,0.6103919429885855
SRs1i7c5m3s,3.0,42.85714286,36.66666667,3.0,Stroke,poor,2.183881163864297
SRs1i7c5m3s,3.0,42.85714286,36.66666667,3.0,Stroke,poor,2.183881163864297
SRs1i7c5m3s,3.0,42.85714286,36.66666667,1.67,Stroke,poor,1.5912692310623198
SRs1i7c5m3s,3.0,42.85714286,36.66666667,1.67,Stroke,poor,1.5912692310623198
SPsT1.2.2c1m3,3.0,71.42857143,10.0,0.75,Stroke,poor,0.7162658589724097
PBsT3c25m2,3.0,14.28571429,12.5,0.5,Stroke,good,1.4081890011527733
PBsT3c25m3,3.0,40.0,11.66666667,0.25,Stroke,good,0.5968171886168034
PBsT3c25m4,3.0,33.33333333,10.83333333,1.25,Stroke,good,0.4512382081268353
PBsT3c12m2,3.0,27.27272727,20.0,0.75,Stroke,good,0.37213971392097484
PBsT3c13m2,3.0,0.0,5.833333333,0.0,Stroke,good,2.5564232285472874
PBsT3c13m3,3.0,0.0,4.166666667,0.25,Stroke,good,2.5415288369406137
PBsT3c13m4,3.0,45.0,20.83333333,0.5,Stroke,poor,0.23412795507937736
PBsT3c14m1,3.0,45.0,27.5,1.75,Stroke,poor,1.177089373063574
PBsT3c14m2,3.0,17.64705882,5.833333333,0.25,Stroke,good,1.7786475443284622
GVsT3c16m2,3.0,35.0,12.06896552,1.0,Stroke,good,0.42815307130245284
