assessment,cluster,fit,slope,intercept
FM-lex,bad,PRR,0.7,0.5025125628140614
FM-lex,bad,Best fit,0.6824120603015075,0.5025125628140614
FM-uex,bad,PRR,0.7,-21.608040201005025
FM-uex,bad,Best fit,0.7110552763819095,-21.608040201005025
BI,bad,PRR,0.7,11.557788944723612
BI,bad,Best fit,0.7206030150753768,11.557788944723612
MRS,bad,PRR,0.7,-0.5025125628140756
MRS,bad,Best fit,0.6919597989949748,-0.5025125628140756
NIHSS,bad,PRR,0.7,0.5025125628140614
NIHSS,bad,Best fit,0.7206030150753768,0.5025125628140614
