assessment,cluster,fit,slope,intercept
FM-lex,good,PRR,0.7,1.5075376884421985
FM-lex,good,Best fit,0.8256281407035175,1.5075376884421985
FM-uex,good,PRR,0.7,-0.5025125628140756
FM-uex,good,Best fit,0.7778894472361808,-0.5025125628140756
BI,good,PRR,0.7,17.58793969849245
BI,good,Best fit,0.7587939698492462,17.58793969849245
MRS,good,PRR,0.7,-0.5025125628140756
MRS,good,Best fit,0.6251256281407035,-0.5025125628140756
NIHSS,good,PRR,0.7,0.5025125628140614
NIHSS,good,Best fit,0.8351758793969848,0.5025125628140614
