group1,group2,meandiff,p-adj,lower,upper,reject
bad_0,bad_1,14.8417,0.1889,-3.5962,33.2795,False
bad_0,bad_2,27.5967,0.0005,9.1589,46.0345,True
bad_0,good_0,37.4576,0.0,20.152,54.7631,True
bad_0,good_1,47.4979,0.0,30.1923,64.8034,True
bad_0,good_2,57.0125,0.0,39.7069,74.318,True
bad_1,bad_2,12.7551,0.3447,-5.6827,31.1929,False
bad_1,good_0,22.6159,0.0033,5.3104,39.9215,True
bad_1,good_1,32.6562,0.0,15.3507,49.9618,True
bad_1,good_2,42.1708,0.0,24.8653,59.4764,True
bad_2,good_0,9.8608,0.5649,-7.4447,27.1664,False
bad_2,good_1,19.9011,0.0144,2.5956,37.2067,True
bad_2,good_2,29.4157,0.0,12.1102,46.7213,True
good_0,good_1,10.0403,0.4632,-6.0535,26.1341,False
good_0,good_2,19.5549,0.008,3.4611,35.6487,True
good_1,good_2,9.5146,0.5243,-6.5792,25.6084,False
